mapped_class,length,width,area,perimeter,solidity,convex_hull_area,equivalent_diameter,feret_diameter,aspect_ratio,circularity
Class A,0.4786053882725832,0.5374800637958532,0.43010173718366534,0.651310146830965,0.6671722000593452,0.5565967910644051,0.6558214217175781,0.6670976994080146,0.10435765798802105,0.2924725812559274
Class A,0.5467511885895405,0.44178628389154706,0.45892963414288546,0.5730636657084465,0.727708813121384,0.5444975257063512,0.6774434545723248,0.6649875414196907,0.07257546563904947,0.4031159709136715
Class A,0.3185419968304279,0.4130781499202552,0.36145039249581995,0.4013446344406237,0.9418128115192911,0.33135349061970504,0.6012074454760353,0.5097646044898045,0.12183718371837186,0.6472967519271169
Class A,0.43106180665610144,0.5502392344497608,0.437852466914161,0.5777203129236758,0.7142758078683371,0.529260281011249,0.6617042140671019,0.6581291030222131,0.11982770316103651,0.3784270523658848
Class A,0.3692551505546751,0.886762360446571,0.3824850511519823,0.7635965385644875,0.6450907526676146,0.5119188162538766,0.6184537582972411,0.9156201283284767,0.23318296929408044,0.1892239977736533
Class A,0.3692551505546751,0.886762360446571,0.44405163374613876,0.7351486834656454,0.7075031888834957,0.5418917183036561,0.6663719935187394,0.9156201283284767,0.23318296929408044,0.23701332027885594
Class A,0.8811410459587956,0.37161084529505584,0.4455748575962819,0.7413365027521402,0.7059536637931034,0.5449440607777051,0.6675139381288469,0.9147177152818865,0.03352948999268569,0.2338727146979324
Class A,0.5023771790808241,0.5996810207336523,0.46811148581630624,0.6309702395414934,0.7401727402063473,0.5460389892403399,0.6841867331484193,0.7227941014171119,0.11148963428837647,0.3391729396996972
Class A,0.5023771790808241,0.5996810207336523,0.44802618528069826,0.6259369634652675,0.7425786754344763,0.5209168037875961,0.6693475818143353,0.7255095450433479,0.11148963428837647,0.329861667227189
Class A,0.595879556259905,0.5039872408293461,0.4471689290673619,0.6299296185725418,0.7422560387609662,0.5201460720206018,0.6687069081947352,0.7202083144264255,0.07638274879654192,0.32507023970621685
Class A,0.5515055467511887,0.22009569377990432,0.4349406296936549,0.5372524102299031,0.7335786920310203,0.5119065824163053,0.6595002878647248,0.5657544595327886,0.03130637801124908,0.43467321920208307
Class A,0.2266244057052298,0.5645933014354066,0.4958341598889109,0.5785330879036893,0.7402244386389838,0.5783363204286737,0.704154926055986,0.5896669552134245,0.24183384773662556,0.42733620443501624
Class A,0.2266244057052298,0.5645933014354066,0.46786351914302715,0.5723365535046983,0.7112331717824448,0.5679559092493929,0.6840054964274974,0.5738287955248935,0.24183384773662556,0.41200820498144036
Class A,0.30427892234548337,0.5311004784688995,0.3094836625386119,0.43647086113331746,0.9492383580694931,0.2814944855977147,0.556312558314669,0.5986681070877247,0.16700249472270198,0.46861573448586974
Class A,0.44215530903328054,0.7894736842105263,0.3933530762037011,0.6985667343161619,0.6691534493564094,0.5075329854845517,0.6271786637025379,0.8543441091955879,0.17116402116402119,0.2325179038373314
Class A,0.7606973058637084,0.4465709728867624,0.4303001105222886,0.6810438977871419,0.6888354579685161,0.539340963170032,0.6559726446447967,0.8276030475976874,0.050242550242550255,0.26761527303375915
Class A,0.4580031695721078,0.5645933014354066,0.44985405390086997,0.7157006107181901,0.6980957825761906,0.5563704650693353,0.6707116026287827,0.7042294407613257,0.11542145593869733,0.25333693537980634
Class A,0.46275752773375595,0.5661881977671451,0.4350398163629665,0.6309999959110478,0.6804481283659494,0.5520029850563675,0.6595754819298293,0.6652998180986449,0.11449247882694985,0.3151809380380661
Class A,0.5499207606973059,0.46730462519936206,0.44092016890072827,0.6048489017509552,0.6983594416266439,0.5451153345037038,0.6640181992240336,0.6627674597569011,0.0767879948914432,0.34766087745118884
Class A,0.5530903328050714,0.3397129186602871,0.45605322073284776,0.5629550331507035,0.7154877289703006,0.550326949309094,0.6753171260473466,0.6205479736207599,0.05301587301587303,0.41510480844626435
Class A,0.5499207606973059,0.3397129186602871,0.4507467339246748,0.569459968077069,0.7086433504121186,0.5491769685773882,0.6713767451473687,0.6191855568780211,0.05337377607492551,0.4009551899511806
Class A,0.2646592709984152,0.5550239234449761,0.41117125286932865,0.4701972680402989,0.8047366815496825,0.44113994898489733,0.6412263663241935,0.5554310268402336,0.20232583774250446,0.5364783372473004
Class A,0.22979397781299524,0.5566188197767145,0.44472468614503924,0.5418372157296105,0.7192025664527956,0.533884671613215,0.6668768148204279,0.5623520674480422,0.23490613901572807,0.4369615517376323
Class A,0.5515055467511887,0.22647527910685808,0.4281463428458072,0.5111223570256078,0.7840267777215584,0.47148598308060263,0.6543289255762788,0.5614644670252903,0.03247373447946515,0.47275064782330173
Class A,0.5530903328050714,0.23285486443381181,0.43940402981267884,0.5448190064784961,0.7101587010786177,0.5342149852276411,0.6628755764188925,0.5623520674480422,0.03351851851851852,0.42702095297208725
Class A,0.5023771790808241,0.5167464114832535,0.4485150338651628,0.5651501957031159,0.7820409877580264,0.4951706926187141,0.6697126502203485,0.6638081692448126,0.09483461448870258,0.40507821712272557
Class A,0.5007923930269415,0.6172248803827751,0.4376399240513503,0.6356268835633587,0.7077532968984521,0.5338785546944294,0.6615435919509389,0.7370950839758449,0.11540483701366984,0.31246549733765056
Class A,0.613312202852615,0.5055821371610845,0.4444625499475727,0.6415694259731493,0.7018436891683262,0.5467669025758345,0.6666802456557213,0.739460382100226,0.07421725849560902,0.3114852631489366
